clean_text,label
help building collapse happening at silk board bangalore,building collapse
high flood near mg road bangalore,flood
help flood happening at mg road bangalore,flood
crime near nh48 highway,crime
nh48 highway alli fire aagide,fire
hello there is a gas leak near silk board bangalore,gas leak
hello there is a flood near whitefield bangalore,flood
gas leak near electronic city three people injured,gas leak
mg road bangalore alli gas leak aagide,gas leak
high flood near majestic bus stand,flood
accident near indiranagar metro station one person injured,accident
high fire near nh48 highway,fire
low fire near indiranagar metro station,fire
gas leak near whitefield bangalore,gas leak
silk board bangalore alli accident aagide,accident
hebbal flyover pe fire ho gaya,fire
electronic city pe gas leak ho gaya,gas leak
medium building collapse near indiranagar metro station,building collapse
low building collapse near silk board bangalore,building collapse
building collapse near kr market bangalore,building collapse
help earthquake happening at silk board bangalore,earthquake
hello there is a flood near tumkur road,flood
flood near indiranagar metro station,flood
mg road bangalore pe accident ho gaya,accident
hello there is a flood near nh48 highway,flood
earthquake near electronic city one person injured,earthquake
help fire happening at kr market bangalore,fire
high earthquake near indiranagar metro station,earthquake
building collapse near electronic city one person injured,building collapse
tumkur road alli accident aagide,accident
majestic bus stand alli earthquake aagide,earthquake
kr market bangalore pe accident ho gaya,accident
gas leak near nh48 highway two people injured,gas leak
nh48 highway pe crime ho gaya,crime
flood near nh48 highway several people injured,flood
low crime near hebbal flyover,crime
building collapse near nh48 highway,building collapse
high fire near whitefield bangalore,fire
fire near hebbal flyover,fire
indiranagar metro station pe gas leak ho gaya,gas leak
hello there is a earthquake near electronic city,earthquake
building collapse near majestic bus stand,building collapse
electronic city pe crime ho gaya,crime
low earthquake near hebbal flyover,earthquake
whitefield bangalore pe fire ho gaya,fire
hello there is a fire near indiranagar metro station,fire
hello there is a earthquake near mg road bangalore,earthquake
tumkur road pe crime ho gaya,crime
tumkur road alli building collapse aagide,building collapse
earthquake near majestic bus stand several people injured,earthquake
help gas leak happening at nh48 highway,gas leak
silk board bangalore alli accident aagide,accident
earthquake near hebbal flyover,earthquake
accident near indiranagar metro station three people injured,accident
hello there is a flood near tumkur road,flood
gas leak near mg road bangalore one person injured,gas leak
earthquake near whitefield bangalore several people injured,earthquake
silk board bangalore pe gas leak ho gaya,gas leak
building collapse near whitefield bangalore,building collapse
earthquake near hebbal flyover,earthquake
fire near hebbal flyover three people injured,fire
kr market bangalore pe flood ho gaya,flood
help flood happening at hebbal flyover,flood
gas leak near whitefield bangalore,gas leak
gas leak near whitefield bangalore two people injured,gas leak
accident near silk board bangalore,accident
nh48 highway pe earthquake ho gaya,earthquake
nh48 highway pe accident ho gaya,accident
crime near hebbal flyover,crime
indiranagar metro station alli earthquake aagide,earthquake
help fire happening at electronic city,fire
hebbal flyover alli accident aagide,accident
earthquake near silk board bangalore,earthquake
kr market bangalore alli fire aagide,fire
mg road bangalore alli crime aagide,crime
whitefield bangalore pe crime ho gaya,crime
gas leak near silk board bangalore several people injured,gas leak
hello there is a building collapse near electronic city,building collapse
hebbal flyover pe earthquake ho gaya,earthquake
flood near majestic bus stand one person injured,flood
electronic city pe earthquake ho gaya,earthquake
help earthquake happening at silk board bangalore,earthquake
help gas leak happening at indiranagar metro station,gas leak
mg road bangalore pe building collapse ho gaya,building collapse
help accident happening at silk board bangalore,accident
fire near kr market bangalore several people injured,fire
help gas leak happening at hebbal flyover,gas leak
low building collapse near silk board bangalore,building collapse
help gas leak happening at hebbal flyover,gas leak
medium fire near tumkur road,fire
fire near whitefield bangalore,fire
electronic city alli fire aagide,fire
help building collapse happening at kr market bangalore,building collapse
help fire happening at majestic bus stand,fire
help flood happening at hebbal flyover,flood
accident near electronic city one person injured,accident
indiranagar metro station alli building collapse aagide,building collapse
medium fire near silk board bangalore,fire
fire near tumkur road three people injured,fire
gas leak near nh48 highway,gas leak
crime near mg road bangalore,crime
help fire happening at hebbal flyover,fire
majestic bus stand alli flood aagide,flood
indiranagar metro station pe crime ho gaya,crime
majestic bus stand pe building collapse ho gaya,building collapse
hebbal flyover pe gas leak ho gaya,gas leak
mg road bangalore alli fire aagide,fire
hello there is a accident near kr market bangalore,accident
help gas leak happening at tumkur road,gas leak
silk board bangalore pe fire ho gaya,fire
tumkur road alli building collapse aagide,building collapse
electronic city alli gas leak aagide,gas leak
hello there is a accident near silk board bangalore,accident
fire near silk board bangalore two people injured,fire
tumkur road pe accident ho gaya,accident
hello there is a flood near kr market bangalore,flood
help building collapse happening at electronic city,building collapse
medium accident near majestic bus stand,accident
help fire happening at hebbal flyover,fire
earthquake near majestic bus stand,earthquake
electronic city alli fire aagide,fire
help crime happening at tumkur road,crime
hello there is a building collapse near majestic bus stand,building collapse
hello there is a fire near silk board bangalore,fire
mg road bangalore pe gas leak ho gaya,gas leak
building collapse near nh48 highway,building collapse
gas leak near silk board bangalore,gas leak
high earthquake near nh48 highway,earthquake
gas leak near majestic bus stand,gas leak
indiranagar metro station pe gas leak ho gaya,gas leak
hello there is a building collapse near indiranagar metro station,building collapse
gas leak near tumkur road,gas leak
majestic bus stand pe fire ho gaya,fire
hello there is a fire near silk board bangalore,fire
accident near nh48 highway,accident
whitefield bangalore alli building collapse aagide,building collapse
help gas leak happening at majestic bus stand,gas leak
majestic bus stand pe gas leak ho gaya,gas leak
medium gas leak near hebbal flyover,gas leak
medium fire near silk board bangalore,fire
hello there is a building collapse near tumkur road,building collapse
electronic city alli flood aagide,flood
help crime happening at silk board bangalore,crime
hello there is a fire near silk board bangalore,fire
low fire near whitefield bangalore,fire
hello there is a accident near tumkur road,accident
fire near hebbal flyover,fire
hello there is a fire near majestic bus stand,fire
fire near tumkur road,fire
tumkur road pe crime ho gaya,crime
building collapse near nh48 highway three people injured,building collapse
gas leak near indiranagar metro station one person injured,gas leak
hello there is a earthquake near hebbal flyover,earthquake
help crime happening at electronic city,crime
hello there is a building collapse near electronic city,building collapse
earthquake near tumkur road two people injured,earthquake
medium building collapse near electronic city,building collapse
fire near mg road bangalore,fire
help flood happening at mg road bangalore,flood
hello there is a flood near whitefield bangalore,flood
help gas leak happening at tumkur road,gas leak
whitefield bangalore alli accident aagide,accident
earthquake near electronic city one person injured,earthquake
gas leak near silk board bangalore,gas leak
low accident near indiranagar metro station,accident
crime near majestic bus stand,crime
low gas leak near nh48 highway,gas leak
hello there is a gas leak near majestic bus stand,gas leak
help earthquake happening at silk board bangalore,earthquake
fire near whitefield bangalore several people injured,fire
low building collapse near nh48 highway,building collapse
help accident happening at hebbal flyover,accident
indiranagar metro station pe flood ho gaya,flood
silk board bangalore pe crime ho gaya,crime
accident near whitefield bangalore several people injured,accident
mg road bangalore pe earthquake ho gaya,earthquake
mg road bangalore pe gas leak ho gaya,gas leak
hello there is a gas leak near whitefield bangalore,gas leak
help accident happening at whitefield bangalore,accident
silk board bangalore pe earthquake ho gaya,earthquake
hello there is a gas leak near whitefield bangalore,gas leak
fire near silk board bangalore,fire
indiranagar metro station alli accident aagide,accident
fire near electronic city three people injured,fire
flood near nh48 highway one person injured,flood
medium flood near electronic city,flood
silk board bangalore alli flood aagide,flood
hello there is a earthquake near indiranagar metro station,earthquake
high building collapse near electronic city,building collapse
mg road bangalore pe flood ho gaya,flood
tumkur road pe earthquake ho gaya,earthquake
crime near silk board bangalore one person injured,crime
help gas leak happening at kr market bangalore,gas leak
help earthquake happening at whitefield bangalore,earthquake
help gas leak happening at tumkur road,gas leak
low flood near nh48 highway,flood
silk board bangalore pe building collapse ho gaya,building collapse
help accident happening at tumkur road,accident
building collapse near whitefield bangalore three people injured,building collapse
hebbal flyover pe earthquake ho gaya,earthquake
nh48 highway pe earthquake ho gaya,earthquake
indiranagar metro station alli accident aagide,accident
fire near mg road bangalore,fire
indiranagar metro station alli flood aagide,flood
high building collapse near mg road bangalore,building collapse
crime near hebbal flyover several people injured,crime
fire near kr market bangalore one person injured,fire
gas leak near electronic city two people injured,gas leak
low accident near whitefield bangalore,accident
mg road bangalore pe fire ho gaya,fire
kr market bangalore alli building collapse aagide,building collapse
help accident happening at whitefield bangalore,accident
gas leak near hebbal flyover three people injured,gas leak
flood near whitefield bangalore,flood
flood near silk board bangalore,flood
mg road bangalore pe flood ho gaya,flood
medium gas leak near tumkur road,gas leak
hebbal flyover pe gas leak ho gaya,gas leak
kr market bangalore alli flood aagide,flood
earthquake near tumkur road,earthquake
help accident happening at majestic bus stand,accident
gas leak near electronic city,gas leak
silk board bangalore alli earthquake aagide,earthquake
hello there is a fire near electronic city,fire
earthquake near kr market bangalore several people injured,earthquake
building collapse near majestic bus stand three people injured,building collapse
help fire happening at majestic bus stand,fire
low fire near indiranagar metro station,fire
hello there is a fire near tumkur road,fire
medium building collapse near nh48 highway,building collapse
crime near kr market bangalore two people injured,crime
medium crime near indiranagar metro station,crime
hello there is a earthquake near tumkur road,earthquake
accident near indiranagar metro station one person injured,accident
hello there is a crime near tumkur road,crime
tumkur road pe gas leak ho gaya,gas leak
hello there is a earthquake near mg road bangalore,earthquake
majestic bus stand alli building collapse aagide,building collapse
hello there is a flood near silk board bangalore,flood
hello there is a earthquake near kr market bangalore,earthquake
hello there is a accident near indiranagar metro station,accident
flood near nh48 highway,flood
mg road bangalore alli earthquake aagide,earthquake
hello there is a earthquake near indiranagar metro station,earthquake
earthquake near nh48 highway,earthquake
earthquake near hebbal flyover one person injured,earthquake
silk board bangalore pe crime ho gaya,crime
hello there is a flood near electronic city,flood
whitefield bangalore alli crime aagide,crime
hello there is a earthquake near indiranagar metro station,earthquake
crime near hebbal flyover one person injured,crime
whitefield bangalore pe flood ho gaya,flood
crime near indiranagar metro station,crime
medium flood near kr market bangalore,flood
mg road bangalore alli gas leak aagide,gas leak
help fire happening at whitefield bangalore,fire
low building collapse near mg road bangalore,building collapse
whitefield bangalore pe fire ho gaya,fire
hello there is a crime near electronic city,crime
hello there is a crime near kr market bangalore,crime
low building collapse near tumkur road,building collapse
electronic city pe building collapse ho gaya,building collapse
help earthquake happening at electronic city,earthquake
low building collapse near kr market bangalore,building collapse
hello there is a building collapse near whitefield bangalore,building collapse
hello there is a fire near silk board bangalore,fire
whitefield bangalore alli building collapse aagide,building collapse
medium crime near kr market bangalore,crime
help earthquake happening at tumkur road,earthquake
electronic city alli gas leak aagide,gas leak
electronic city pe gas leak ho gaya,gas leak
fire near kr market bangalore,fire
low building collapse near majestic bus stand,building collapse
hello there is a accident near nh48 highway,accident
hello there is a building collapse near silk board bangalore,building collapse
silk board bangalore alli gas leak aagide,gas leak
help gas leak happening at tumkur road,gas leak
building collapse near kr market bangalore several people injured,building collapse
crime near tumkur road,crime
hello there is a earthquake near silk board bangalore,earthquake
indiranagar metro station alli fire aagide,fire
high fire near whitefield bangalore,fire
building collapse near silk board bangalore two people injured,building collapse
hello there is a building collapse near tumkur road,building collapse
earthquake near electronic city two people injured,earthquake
indiranagar metro station pe flood ho gaya,flood
mg road bangalore pe gas leak ho gaya,gas leak
medium building collapse near majestic bus stand,building collapse
hello there is a fire near hebbal flyover,fire
medium flood near majestic bus stand,flood
low flood near kr market bangalore,flood
hello there is a building collapse near hebbal flyover,building collapse
building collapse near electronic city several people injured,building collapse
help gas leak happening at whitefield bangalore,gas leak
hello there is a flood near electronic city,flood
building collapse near tumkur road,building collapse
hello there is a building collapse near whitefield bangalore,building collapse
hebbal flyover pe fire ho gaya,fire
gas leak near electronic city several people injured,gas leak
fire near mg road bangalore,fire
hello there is a crime near mg road bangalore,crime
indiranagar metro station alli gas leak aagide,gas leak
kr market bangalore alli crime aagide,crime
help crime happening at kr market bangalore,crime
majestic bus stand pe building collapse ho gaya,building collapse
hebbal flyover alli accident aagide,accident
fire near silk board bangalore three people injured,fire
building collapse near electronic city,building collapse
hello there is a earthquake near kr market bangalore,earthquake
high flood near whitefield bangalore,flood
hebbal flyover pe earthquake ho gaya,earthquake
hebbal flyover pe fire ho gaya,fire
hello there is a gas leak near mg road bangalore,gas leak
hello there is a flood near whitefield bangalore,flood
electronic city alli gas leak aagide,gas leak
hello there is a earthquake near mg road bangalore,earthquake
indiranagar metro station pe earthquake ho gaya,earthquake
whitefield bangalore alli building collapse aagide,building collapse
gas leak near silk board bangalore,gas leak
earthquake near hebbal flyover,earthquake
medium accident near indiranagar metro station,accident
mg road bangalore pe fire ho gaya,fire
help gas leak happening at hebbal flyover,gas leak
medium building collapse near indiranagar metro station,building collapse
hello there is a flood near tumkur road,flood
crime near tumkur road several people injured,crime
earthquake near electronic city three people injured,earthquake
building collapse near tumkur road,building collapse
accident near majestic bus stand several people injured,accident
flood near hebbal flyover three people injured,flood
help earthquake happening at whitefield bangalore,earthquake
hello there is a crime near majestic bus stand,crime
mg road bangalore pe flood ho gaya,flood
hello there is a flood near electronic city,flood
help earthquake happening at mg road bangalore,earthquake
whitefield bangalore alli crime aagide,crime
earthquake near indiranagar metro station,earthquake
accident near kr market bangalore two people injured,accident
gas leak near mg road bangalore several people injured,gas leak
hello there is a crime near whitefield bangalore,crime
fire near nh48 highway three people injured,fire
hello there is a crime near majestic bus stand,crime
flood near nh48 highway,flood
accident near hebbal flyover,accident
crime near silk board bangalore three people injured,crime
accident near mg road bangalore,accident
earthquake near electronic city several people injured,earthquake
help flood happening at tumkur road,flood
tumkur road pe crime ho gaya,crime
fire near electronic city one person injured,fire
earthquake near nh48 highway,earthquake
hebbal flyover pe gas leak ho gaya,gas leak
high crime near whitefield bangalore,crime
crime near mg road bangalore two people injured,crime
medium crime near tumkur road,crime
tumkur road pe flood ho gaya,flood
gas leak near nh48 highway,gas leak
hello there is a earthquake near hebbal flyover,earthquake
high flood near silk board bangalore,flood
building collapse near majestic bus stand,building collapse
whitefield bangalore alli fire aagide,fire
crime near indiranagar metro station one person injured,crime
hello there is a gas leak near kr market bangalore,gas leak
hello there is a building collapse near mg road bangalore,building collapse
help earthquake happening at mg road bangalore,earthquake
gas leak near mg road bangalore,gas leak
mg road bangalore pe crime ho gaya,crime
building collapse near kr market bangalore two people injured,building collapse
building collapse near tumkur road two people injured,building collapse
hello there is a building collapse near hebbal flyover,building collapse
silk board bangalore alli fire aagide,fire
silk board bangalore pe fire ho gaya,fire
high fire near majestic bus stand,fire
electronic city alli fire aagide,fire
crime near whitefield bangalore,crime
kr market bangalore pe crime ho gaya,crime
whitefield bangalore alli building collapse aagide,building collapse
hello there is a building collapse near electronic city,building collapse
building collapse near electronic city three people injured,building collapse
help building collapse happening at mg road bangalore,building collapse
gas leak near kr market bangalore,gas leak
medium gas leak near indiranagar metro station,gas leak
gas leak near kr market bangalore,gas leak
help fire happening at tumkur road,fire
gas leak near mg road bangalore three people injured,gas leak
kr market bangalore alli crime aagide,crime
crime near tumkur road several people injured,crime
low crime near indiranagar metro station,crime
help gas leak happening at indiranagar metro station,gas leak
building collapse near majestic bus stand,building collapse
earthquake near whitefield bangalore several people injured,earthquake
high accident near majestic bus stand,accident
hello there is a earthquake near indiranagar metro station,earthquake
crime near indiranagar metro station two people injured,crime
high accident near silk board bangalore,accident
crime near nh48 highway three people injured,crime
hello there is a crime near nh48 highway,crime
high accident near nh48 highway,accident
hello there is a earthquake near electronic city,earthquake
help earthquake happening at indiranagar metro station,earthquake
earthquake near indiranagar metro station three people injured,earthquake
whitefield bangalore pe fire ho gaya,fire
hello there is a fire near nh48 highway,fire
nh48 highway pe crime ho gaya,crime
flood near mg road bangalore,flood
hello there is a building collapse near whitefield bangalore,building collapse
accident near hebbal flyover,accident
help flood happening at electronic city,flood
accident near whitefield bangalore,accident
hebbal flyover alli building collapse aagide,building collapse
medium earthquake near indiranagar metro station,earthquake
nh48 highway pe crime ho gaya,crime
earthquake near indiranagar metro station one person injured,earthquake
low accident near indiranagar metro station,accident
high accident near mg road bangalore,accident
fire near hebbal flyover three people injured,fire
hello there is a building collapse near hebbal flyover,building collapse
fire near nh48 highway three people injured,fire
flood near electronic city one person injured,flood
building collapse near tumkur road several people injured,building collapse
indiranagar metro station pe gas leak ho gaya,gas leak
building collapse near silk board bangalore three people injured,building collapse
tumkur road alli earthquake aagide,earthquake
electronic city pe flood ho gaya,flood
low crime near kr market bangalore,crime
kr market bangalore pe flood ho gaya,flood
hello there is a gas leak near mg road bangalore,gas leak
hello there is a fire near kr market bangalore,fire
nh48 highway alli accident aagide,accident
hebbal flyover pe gas leak ho gaya,gas leak
flood near kr market bangalore two people injured,flood
hello there is a building collapse near tumkur road,building collapse
hello there is a crime near mg road bangalore,crime
low crime near indiranagar metro station,crime
high crime near tumkur road,crime
hello there is a flood near whitefield bangalore,flood
hello there is a flood near nh48 highway,flood
high earthquake near whitefield bangalore,earthquake
gas leak near indiranagar metro station one person injured,gas leak
hello there is a flood near electronic city,flood
hello there is a crime near kr market bangalore,crime
help fire happening at indiranagar metro station,fire
hello there is a fire near indiranagar metro station,fire
help gas leak happening at silk board bangalore,gas leak
medium fire near electronic city,fire
help gas leak happening at silk board bangalore,gas leak
electronic city alli fire aagide,fire
medium building collapse near nh48 highway,building collapse
hello there is a fire near tumkur road,fire
hebbal flyover pe accident ho gaya,accident
nh48 highway alli earthquake aagide,earthquake
tumkur road pe crime ho gaya,crime
flood near kr market bangalore three people injured,flood
help building collapse happening at silk board bangalore,building collapse
earthquake near kr market bangalore several people injured,earthquake
kr market bangalore alli building collapse aagide,building collapse
fire near whitefield bangalore three people injured,fire
silk board bangalore alli fire aagide,fire
hello there is a earthquake near kr market bangalore,earthquake
low accident near nh48 highway,accident
low accident near majestic bus stand,accident
hello there is a gas leak near mg road bangalore,gas leak
help crime happening at tumkur road,crime
kr market bangalore pe flood ho gaya,flood
tumkur road pe flood ho gaya,flood
kr market bangalore pe gas leak ho gaya,gas leak
help accident happening at whitefield bangalore,accident
majestic bus stand pe fire ho gaya,fire
flood near nh48 highway,flood
hello there is a earthquake near whitefield bangalore,earthquake
kr market bangalore pe fire ho gaya,fire
building collapse near electronic city two people injured,building collapse
hello there is a building collapse near majestic bus stand,building collapse
high flood near whitefield bangalore,flood
majestic bus stand alli accident aagide,accident
accident near mg road bangalore,accident
medium earthquake near mg road bangalore,earthquake
silk board bangalore alli accident aagide,accident
flood near silk board bangalore one person injured,flood
building collapse near whitefield bangalore,building collapse
hebbal flyover pe earthquake ho gaya,earthquake
high gas leak near indiranagar metro station,gas leak
kr market bangalore alli building collapse aagide,building collapse
hello there is a gas leak near majestic bus stand,gas leak
kr market bangalore alli accident aagide,accident
medium earthquake near majestic bus stand,earthquake
hello there is a building collapse near mg road bangalore,building collapse
whitefield bangalore pe gas leak ho gaya,gas leak
hello there is a gas leak near indiranagar metro station,gas leak
electronic city pe crime ho gaya,crime
hello there is a crime near mg road bangalore,crime
help flood happening at whitefield bangalore,flood
building collapse near tumkur road three people injured,building collapse
building collapse near whitefield bangalore,building collapse
hello there is a building collapse near majestic bus stand,building collapse
hello there is a flood near electronic city,flood
majestic bus stand alli accident aagide,accident
low gas leak near majestic bus stand,gas leak
electronic city alli earthquake aagide,earthquake
indiranagar metro station alli flood aagide,flood
high crime near silk board bangalore,crime
hello there is a gas leak near mg road bangalore,gas leak
help building collapse happening at whitefield bangalore,building collapse
crime near whitefield bangalore,crime
whitefield bangalore pe building collapse ho gaya,building collapse
accident near nh48 highway,accident
majestic bus stand alli gas leak aagide,gas leak
hello there is a gas leak near majestic bus stand,gas leak
high flood near hebbal flyover,flood
whitefield bangalore pe gas leak ho gaya,gas leak
help building collapse happening at hebbal flyover,building collapse
high crime near hebbal flyover,crime
majestic bus stand alli flood aagide,flood
help flood happening at tumkur road,flood
help gas leak happening at mg road bangalore,gas leak
gas leak near whitefield bangalore several people injured,gas leak
hello there is a earthquake near majestic bus stand,earthquake
help earthquake happening at whitefield bangalore,earthquake
low earthquake near indiranagar metro station,earthquake
high flood near mg road bangalore,flood
building collapse near hebbal flyover,building collapse
high earthquake near silk board bangalore,earthquake
mg road bangalore alli flood aagide,flood
hello there is a flood near tumkur road,flood
help earthquake happening at majestic bus stand,earthquake
hello there is a fire near tumkur road,fire
nh48 highway pe crime ho gaya,crime
accident near majestic bus stand,accident
hello there is a flood near whitefield bangalore,flood
whitefield bangalore alli accident aagide,accident
hello there is a gas leak near mg road bangalore,gas leak
majestic bus stand pe gas leak ho gaya,gas leak
building collapse near majestic bus stand one person injured,building collapse
majestic bus stand alli earthquake aagide,earthquake
help fire happening at majestic bus stand,fire
medium gas leak near tumkur road,gas leak
electronic city pe fire ho gaya,fire
electronic city pe building collapse ho gaya,building collapse
electronic city alli crime aagide,crime
mg road bangalore alli building collapse aagide,building collapse
hello there is a earthquake near kr market bangalore,earthquake
low flood near majestic bus stand,flood
hello there is a fire near tumkur road,fire
help fire happening at majestic bus stand,fire
earthquake near silk board bangalore several people injured,earthquake
earthquake near electronic city several people injured,earthquake
hello there is a earthquake near majestic bus stand,earthquake
accident near indiranagar metro station,accident
help flood happening at majestic bus stand,flood
help fire happening at indiranagar metro station,fire
accident near whitefield bangalore two people injured,accident
tumkur road pe accident ho gaya,accident
help earthquake happening at majestic bus stand,earthquake
low accident near whitefield bangalore,accident
help building collapse happening at mg road bangalore,building collapse
help crime happening at nh48 highway,crime
majestic bus stand pe gas leak ho gaya,gas leak
fire near mg road bangalore two people injured,fire
hello there is a building collapse near mg road bangalore,building collapse
flood near nh48 highway,flood
electronic city pe gas leak ho gaya,gas leak
earthquake near hebbal flyover three people injured,earthquake
gas leak near indiranagar metro station two people injured,gas leak
kr market bangalore alli crime aagide,crime
crime near silk board bangalore one person injured,crime
help gas leak happening at electronic city,gas leak
help earthquake happening at mg road bangalore,earthquake
hebbal flyover pe accident ho gaya,accident
silk board bangalore pe gas leak ho gaya,gas leak
